,0,1,2,3
0,1.0,1.2281286778902579e-20,7.062667027074005e-249,0.0
1,0.9999999999998863,0.0,6.270401696147759e-50,1.1650168401036498e-13
2,1.174697817758799e-17,0.0,2.2596794743348885e-26,1.0
3,5.430908778984008e-57,0.0,0.0,1.0
4,1.2693689330062432e-87,1.0,7.099122630347113e-62,4.900645295568522e-212
5,6.948542318802392e-38,0.0,6.082400696182817e-121,1.0
6,1.8521600260692055e-53,8.493083094032479e-156,1.0,7.860258887369316e-68
7,1.2688830625395404e-40,0.0,3.696198442026783e-146,1.0
8,6.886960299802897e-72,1.0,1.0805942075767157e-57,1.4596597298669564e-140
9,1.37847836395405e-79,1.0,3.5023854058850826e-114,1.599114977875866e-205
10,1.0,0.0,2.940245517830967e-19,1.8563489491773484e-21
11,2.5742761367662092e-55,1.0,1.4774849665563427e-111,3.796234106000307e-241
12,1.0,5.6046284695673215e-114,7.69707107964671e-41,2.942171621930948e-91
13,8.877776391621344e-19,0.0,2.71421127440062e-62,1.0
14,2.1604636434277173e-98,0.0,0.0,1.0
15,1.0,9.218929433998131e-63,4.077425657983052e-177,1.804775277171461e-199
16,6.617720649835489e-33,0.0,0.0,1.0
17,1.8220101870912326e-102,1.0,9.392919391563187e-113,2.7908097213481554e-238
18,2.1015050749745216e-29,0.0,1.1914918788790152e-111,1.0
19,6.155469192467536e-59,1.0,1.500532799528796e-32,8.34612547801529e-211
20,2.651871630337496e-37,1.7121478035607123e-211,1.0,1.1847734891243038e-62
21,0.9999999999999432,6.820317892170611e-14,1.3142148675529755e-197,2.3810699458807785e-284
22,3.626626661827899e-21,0.0,3.6391292749412686e-34,1.0
23,1.5151834123584919e-33,0.0,0.0,1.0
24,2.3918096217618726e-35,0.0,9.149340923565981e-110,1.0
25,3.100239958633279e-69,1.0,2.5519847893943234e-37,2.3387915354738004e-130
26,7.713631647930532e-71,1.0,3.373940284220324e-33,2.5219637941141355e-146
27,6.432365926946745e-65,7.501274024281269e-127,1.0,4.104735325639184e-95
28,7.567314401875134e-37,1.4371869248743678e-197,1.0,4.276450828515128e-52
